Simulation = StatVarTest
Runtime = 00.00:00:00
Runs = 100 of 100
Done Occurred 100 times, Probability =1, MeanTime = 01.00:04:37 +/- 00.01:04:45.38
- Variable Values - 
Run Idx, Accrual_Save, SumCurTime
1, 24.57957597647222, 24.57957597647222
2, 25.51462528575, 25.51462528575
3, 22.597516383305557, 22.597516383305557
4, 24.88138710036111, 24.88138710036111
5, 22.163023369333335, 22.163023369333335
6, 26.22334519925, 26.22334519925
7, 25.129044929722223, 25.129044929722223
8, 24.330811331194443, 24.330811331194443
9, 25.889538298194445, 25.889538298194445
10, 24.433889772222223, 24.433889772222223
11, 24.091803380833333, 24.091803380833333
12, 22.66159345563889, 22.66159345563889
13, 24.683585001416667, 24.683585001416667
14, 23.655370471333335, 23.655370471333335
15, 23.88153570772222, 23.88153570772222
16, 24.043499679583334, 24.04349967961111
17, 23.40360441383333, 23.40360441383333
18, 21.981933781555554, 21.981933781555554
19, 23.489760416, 23.489760416
20, 23.341954627444444, 23.341954627444444
21, 26.374285253916668, 26.374285253916668
22, 23.787677279222223, 23.787677279222223
23, 24.758448246527777, 24.758448246527777
24, 24.840686422138887, 24.840686422138887
25, 24.564249120527776, 24.564249120527776
26, 22.94941892111111, 22.94941892111111
27, 24.585081118111113, 24.585081118111113
28, 24.901255880194444, 24.901255880194444
29, 24.978623976583332, 24.978623976583332
30, 22.62912523313889, 22.62912523313889
31, 24.461191452083334, 24.461191452083334
32, 26.020975848444444, 26.020975848444444
33, 24.45153998386111, 24.45153998386111
34, 24.72069451647222, 24.72069451647222
35, 24.33496482311111, 24.33496482311111
36, 24.29087083313889, 24.29087083313889
37, 23.033941879388887, 23.033941879388887
38, 24.61399391575, 24.61399391575
39, 24.95647219597222, 24.95647219597222
40, 24.195112871166668, 24.195112871166668
41, 24.278656356611112, 24.278656356611112
42, 24.124754084194443, 24.124754084194443
43, 23.96845844427778, 23.96845844427778
44, 25.82651786916667, 25.82651786916667
45, 22.682496503694445, 22.682496503694445
46, 22.956071942333335, 22.956071942333335
47, 21.624083096472223, 21.624083096472223
48, 22.18751383275, 22.18751383275
49, 24.048959226166666, 24.048959226166666
50, 22.18552729225, 22.18552729225
51, 25.069173438805556, 25.06917343883333
52, 23.534577494222223, 23.534577494222223
53, 23.848311845027776, 23.848311845027776
54, 23.264443682916667, 23.264443682916667
55, 24.393491069083332, 24.393491069083332
56, 25.802189974555557, 25.80218997458333
57, 23.55541933402778, 23.55541933402778
58, 24.625625378333332, 24.625625378333332
59, 23.850907077166667, 23.850907077166667
60, 25.17499642413889, 25.17499642413889
61, 26.199657070527778, 26.199657070527778
62, 24.045954250666668, 24.045954250666668
63, 25.111265539194445, 25.111265539194445
64, 26.13009034497222, 26.13009034497222
65, 23.82658250025, 23.82658250025
66, 21.12450753786111, 21.12450753786111
67, 23.56763884877778, 23.56763884877778
68, 21.953805056055554, 21.953805056055554
69, 23.766167465, 23.766167465
70, 24.548160733305554, 24.548160733305554
71, 24.011334630194444, 24.011334630194444
72, 24.894812892, 24.894812892
73, 24.442002521777777, 24.442002521777777
74, 25.10636119377778, 25.10636119377778
75, 23.935922618611112, 23.935922618611112
76, 23.610023400472222, 23.610023400472222
77, 25.013131675916668, 25.013131675916668
78, 25.495849242722223, 25.495849242722223
79, 23.741279183805556, 23.741279183805556
80, 23.884629708916666, 23.884629708916666
81, 22.89813144677778, 22.89813144677778
82, 23.308193848416668, 23.308193848416668
83, 23.016615395888888, 23.016615395888888
84, 24.746618926583334, 24.74661892661111
85, 24.322600896083333, 24.322600896083333
86, 24.781893538027777, 24.781893538027777
87, 22.280445828055555, 22.280445828055555
88, 23.849677472055557, 23.849677472055557
89, 23.86173079022222, 23.86173079022222
90, 22.545717721722223, 22.545717721722223
91, 23.429165392222224, 23.429165392222224
92, 24.2871444625, 24.2871444625
93, 25.018424397833332, 25.018424397833332
94, 24.428690461805555, 24.428690461805555
95, 24.16305, 24.16305
96, 23.886146677527776, 23.886146677527776
97, 25.390655858194446, 25.390655858194446
98, 23.33675332772222, 23.33675332772222
99, 23.06144927263889, 23.06144927263889
100, 23.248290824, 23.248290824
---------------------------
- End Sim Variable Values -
---------------------------
Accrual_Save Total = 2407.698755671307
Accrual_Save Mean = 24.07698755671307
Accrual_Save Standard Deviation = +/- 1.0792732114297525
SumCurTime Total = 2407.698755671418
SumCurTime Mean = 24.07698755671418
SumCurTime Standard Deviation = +/- 1.079273211430624
