procedureId,startStep,endStep,primitiveEvalCount,evalState,timeOnShift,elapsedTime,fatigueIndex,FatigueBaseline,timePressure,MaxRepeat,Stress,scenario,Sa,Sd,FfDd,Success
lofw,1,-1,35,Success,03:35:39.1136754,00:03:28.9240614,0.8564298438981598,0.7271415413238437,false,3,Extreme,LOFW,41.297878469450175,4.122010883656063,1.0986178480462878,True
rapid_shutdown,1,-1,55,Success,03:40:58.3143077,00:05:13.1237423,0.8288523562269315,0.7271415413238437,false,3,Extreme,LOFW,47.26832145049103,4.717571633412689,1.1341339315776084,True
lofw,1,-1,34,OutOfTimeFailure,03:29:17.5427744,00:07:48.7824301,1.5403134837069241,1.3339977270900427,false,3,Extreme,LOFW,25.874769537565143,2.6742168356177016,0.6012683595240255,False
lofw,1,-1,35,Success,03:14:51.5567204,00:04:46.6504116,1.3441976760087533,1.090694590602746,false,3,Extreme,LOFW,28.62185533555617,2.8412362160124127,0.6985569197294108,True
rapid_shutdown,1,-1,55,Success,03:25:36.6761748,00:10:40.6032651,1.2886816321670371,1.090694590602746,false,3,Extreme,LOFW,32.857024870195,3.259988665089826,0.7269670799180291,True
lofw,1,-1,35,Success,04:55:11.7371657,00:01:52.9752516,0.4139657069694518,0.7283585730687138,false,3,Extreme,LOFW,73.89386725061784,7.096744381448715,2.2203879839827305,True
rapid_shutdown,1,-1,2,OnRepeatFailure,04:55:01.9259745,00:00:01.3309943,0.41454406116486403,0.7283585730687138,false,3,Extreme,LOFW,74.34503180512316,7.1397944437027325,2.2173187495303397,False
lofw,1,-1,35,Success,04:09:52.2909361,00:02:57.6543979,0.5951073673150562,0.655817205683114,false,3,Extreme,LOFW,54.11019070115218,5.598703794012129,1.5579372325430856,True
rapid_shutdown,1,-1,55,Success,04:12:26.3687605,00:02:24.4869893,0.5794396369942716,0.655817205683114,false,3,Extreme,LOFW,60.31949234603283,6.246053954566584,1.5994608697028807,True
lofw,1,-1,22,OutOfTimeFailure,04:10:34.8173416,00:07:02.4445900,1.4101204727304506,1.4568410404638616,false,3,Extreme,LOFW,28.350267682751685,2.8213267129349453,0.6720268509652522,False
lofw,1,-1,35,Success,05:28:35.4141584,00:02:22.5768806,0.6455836631215282,1.1096808632261468,false,3,Extreme,LOFW,49.56058651975002,5.049471431870463,1.4177373766975543,True
rapid_shutdown,1,-1,55,Success,05:32:56.2967143,00:04:21.9627230,0.634824614416055,1.1096808632261468,false,3,Extreme,LOFW,57.92879489047644,5.906051773930823,1.441656488912357,True
lofw,1,-1,35,Success,03:47:54.6043539,00:02:17.4612241,1.0932972699022743,1.0061313335255675,false,3,Extreme,LOFW,31.791378525813204,3.0885525513322816,0.8403291590823025,True
rapid_shutdown,1,-1,55,Success,03:51:44.6429774,00:03:44.7975034,1.065787979585111,1.0061313335255675,false,3,Extreme,LOFW,36.40187117339426,3.530436306900921,0.8613156756255205,True
lofw,1,-1,34,OutOfTimeFailure,03:57:33.9063471,00:08:37.5625762,1.0778886884890777,1.0628794348668669,false,3,Extreme,LOFW,36.22116552789637,3.5536779894742554,0.8618120386675067,False
lofw,1,-1,35,Success,04:10:23.2182822,00:03:07.6927801,0.7423536204489309,0.806620408195741,false,3,Extreme,LOFW,45.193384644047384,4.46300043695739,1.2482745960340407,True
rapid_shutdown,1,-1,55,Success,04:13:56.6527200,00:03:15.5706855,0.7205574410812006,0.806620408195741,false,3,Extreme,LOFW,51.014705575788554,5.035813683940686,1.2853678623153504,True
lofw,1,-1,35,Success,05:39:16.8952691,00:02:56.7254319,0.5054724090464222,0.8493152514494149,false,3,Extreme,LOFW,65.93328344025932,6.684133057272129,1.8597772819320664,True
rapid_shutdown,1,-1,51,OnRepeatFailure,05:41:50.6172461,00:02:17.0375415,0.5051385558621428,0.8493152514494149,false,3,Extreme,LOFW,72.70870523860216,7.372674774335043,1.861057471274227,False
lofw,1,-1,35,Success,04:50:33.4619046,00:01:46.6314372,0.36596193005375044,0.7177392109375013,false,3,Extreme,LOFW,81.954464356036,8.10900332834007,2.477194022544735,True
rapid_shutdown,1,-1,31,OnRepeatFailure,04:51:27.2222607,00:00:52.8570306,0.36068979773395043,0.7177392109375013,false,3,Extreme,LOFW,89.64469836186964,8.868788000944605,2.513167051216982,False
lofw,1,-1,28,OutOfTimeFailure,02:19:50.3899520,00:10:29.1818720,1.5550269025307084,1.0933664439103739,false,3,Extreme,LOFW,27.200038365423005,2.707185893255242,0.6110105879466778,False
lofw,1,-1,35,Success,03:29:45.5554826,00:05:18.3701019,1.111693870372903,0.9931180972967244,false,3,Extreme,LOFW,34.43793837359644,3.3666463038392247,0.8607543521680584,True
rapid_shutdown,1,-1,55,Success,03:34:33.8728548,00:04:43.4564524,1.0936239017870835,0.9931180972967244,false,3,Extreme,LOFW,37.49420509934792,3.662624722291308,0.8744305230063737,True
lofw,1,-1,35,Success,06:52:53.5803480,00:03:16.5693106,0.6069828625286993,0.6999506163464615,false,3,Extreme,LOFW,58.833773511070966,5.749857690678884,1.5659591443119645,True
